*********************************************************************
Spectrum LCDSmartie Plugin by Dave Perrow 8th March 2012
SPC plugin version 1.2.231.1268
Log file Opened at 12/01/22 13:33:49
*********************************************************************
13:33:49.401 Log file Opened at 12/01/22 13:33:49
13:33:49.401 OS = 6.2
13:33:49.401 SPC_read_cfg_file: Started
13:33:49.401 SPC_read_cfg_file: File Opened
13:33:49.401 SPC_read_cfg_file: AudioDevice=0
13:33:49.401 SPC_read_cfg_file: AudioInput=0
13:33:49.401 SPC_read_cfg_file: Scaling=1.000000
13:33:49.401 SPC_read_cfg_file: UseWasapi=1
13:33:49.401 SPC_read_cfg_file: BlackChar=0
13:33:49.401 SPC_read_cfg_file: BottomLine=0
13:33:49.401 SPC_read_cfg_file: AutoScale=1
13:33:49.401 SPC_read_cfg_file: MaxScale=3.000000
13:33:49.401 SPC_read_cfg_file: MinScale=0.100000
13:33:49.401 SPC_read_cfg_file: UpFactor=0.010000
13:33:49.401 SPC_read_cfg_file: DownFactor=0.010000
13:33:49.401 SPC_read_cfg_file: ScaleBar=0
13:33:49.401 SPC_read_cfg_file: Finished
13:33:49.515 SPC_init entry=0, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (3- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.518 SPC_init entry=1, type=9, mixfreq=0, mixchans=0, flags=26, name=Digital Output (3- AMD High Definition Audio Device)[Default][Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.520 SPC_init entry=2, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Audio (HDMI) (High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.523 SPC_init entry=3, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Audio (HDMI) (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.526 SPC_init entry=4, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.528 SPC_init entry=5, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.531 SPC_init entry=6, type=10, mixfreq=0, mixchans=0, flags=0, name=Internal AUX Jack (High Definition Audio Device) [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.533 SPC_init entry=7, type=10, mixfreq=0, mixchans=0, flags=24, name=Internal AUX Jack (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.536 SPC_init entry=8, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (2- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.538 SPC_init entry=9, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (2- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.541 SPC_init entry=10, type=3, mixfreq=0, mixchans=0, flags=0, name=Headphones (High Definition Audio Device) [BASS_WASAPI_TYPE_HEADPHONES]
